;Lasso;Ridge;RandomForest;SingleSell
R2 Score;0.8204459376266288;0.9143858616242316;-0.8685923022280675;
MAPE;2.682772027920391;2.123061873865197;14.113582444611671;
ROI(300days);0.04548378930918395;0.0498654647452208;0.08297297849425078;0.0845129167644223
ROI(2years);0.23904065852887513;0.3944809125847264;0.08297297849425078;0.4164125022809624
Operations;(110, 274);(124, 314);(24, 24);(2, 2)
